Name	ScopeViewControl	
File	F:\_LTR700\TempMeas\Scope YT Project.svd	
StartRecord	131572023434270000	08 December 2017	12:25:43
EndRecord	131572026024670000	08 December 2017	12:30:02


Name	T_Ref	Name	T_Cels	
NetId	172.18.136.182.1.1	NetId	172.18.136.182.1.1	
Port	851	Port	851	
SampleTime[ms]	10	SampleTime[ms]	10	
SymbolBased	True	SymbolBased	True	
SymbolName	Temperatures.T_Ref	SymbolName	Temperatures.T_Act	
SymbolComment		SymbolComment		
IndexGroup	16448	IndexGroup	16448	
IndexOffset	513864	IndexOffset	513868	
Data-Type	REAL32	Data-Type	REAL32	
VariableSize	4	VariableSize	4	
Offset	0	Offset	0	
ScaleFactor	1	ScaleFactor	1	
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	

2050	50	2050	32.7604179	
2060	50	2060	32.7314835	
2070	50	2070	32.7604179	
2080	50	2080	32.7604179	
2090	50	2090	32.7604179	
2100	50	2100	32.7604179	
2110	50	2110	32.7604179	
2120	50	2120	32.7604179	
2130	50	2130	32.7893524	
2140	50	2140	32.7893524	
2150	50	2150	32.7893524	
2160	50	2160	32.7893524	
2170	50	2170	32.7893524	
2180	50	2180	32.7893524	
2190	50	2190	32.7893524	
2200	50	2200	32.7893524	
2210	50	2210	32.7893524	
2220	50	2220	32.7893524	
2230	50	2230	32.7893524	
2240	50	2240	32.7893524	
2250	50	2250	32.7893524	
2260	50	2260	32.8182869	
2270	50	2270	32.8182869	
2280	50	2280	32.7893524	
2290	50	2290	32.8182869	
2300	50	2300	32.7893524	
2310	50	2310	32.8182869	
2320	50	2320	32.7893524	
2330	50	2330	32.8182869	
2340	50	2340	32.8182869	
2350	50	2350	32.8182869	
2360	50	2360	32.8182869	
2370	50	2370	32.8182869	
2380	50	2380	32.8182869	
2390	50	2390	32.84722	
2400	50	2400	32.8182869	
2410	50	2410	32.8182869	
2420	50	2420	32.8182869	
2430	50	2430	32.8182869	
2440	50	2440	32.8182869	
2450	50	2450	32.8182869	
2460	50	2460	32.8182869	
2470	50	2470	32.84722	
2480	50	2480	32.84722	
2490	50	2490	32.84722	
2500	50	2500	32.84722	
2510	50	2510	32.84722	
2520	50	2520	32.84722	
2530	50	2530	32.84722	
2540	50	2540	32.84722	
2550	50	2550	32.84722	
2560	50	2560	32.84722	
2570	50	2570	32.84722	
2580	50	2580	32.84722	
2590	50	2590	32.84722	
2600	50	2600	32.84722	
2610	50	2610	32.84722	
2620	50	2620	32.84722	
2630	50	2630	32.84722	
2640	50	2640	32.87616	
2650	50	2650	32.84722	
2660	50	2660	32.87616	
2670	50	2670	32.87616	
2680	50	2680	32.84722	
2690	50	2690	32.87616	
2700	50	2700	32.87616	
2710	50	2710	32.87616	
2720	50	2720	32.87616	
2730	50	2730	32.87616	
2740	50	2740	32.87616	
2750	50	2750	32.87616	
2760	50	2760	32.87616	
2770	50	2770	32.87616	
2780	50	2780	32.87616	
2790	50	2790	32.90509	
2800	50	2800	32.90509	
2810	50	2810	32.90509	
2820	50	2820	32.90509	
2830	50	2830	32.90509	
2840	50	2840	32.90509	
2850	50	2850	32.90509	
2860	50	2860	32.90509	
2870	50	2870	32.90509	
2880	50	2880	32.90509	
2890	50	2890	32.93403	
2900	50	2900	32.90509	
2910	50	2910	32.90509	
2920	50	2920	32.93403	
2930	50	2930	32.93403	
2940	50	2940	32.93403	
2950	50	2950	32.93403	
2960	50	2960	32.93403	
2970	50	2970	32.93403	
2980	50	2980	32.93403	
2990	50	2990	32.93403	
3000	50	3000	32.93403	
3010	50	3010	32.93403	
3020	50	3020	32.93403	
3030	50	3030	32.93403	
3040	50	3040	32.93403	
3050	50	3050	32.9629631	
3060	50	3060	32.9629631	
3070	50	3070	32.9629631	
3080	50	3080	32.9629631	
3090	50	3090	32.9629631	
3100	50	3100	32.9629631	
3110	50	3110	32.9629631	
3120	50	3120	32.9629631	
3130	50	3130	32.9629631	
3140	50	3140	32.9629631	
3150	50	3150	32.9629631	
3160	50	3160	32.9629631	
3170	50	3170	32.9629631	
3180	50	3180	32.9629631	
3190	50	3190	32.9629631	
3200	50	3200	32.9629631	
3210	50	3210	32.9629631	
3220	50	3220	32.9629631	
3230	50	3230	32.9629631	
3240	50	3240	32.9918976	
3250	50	3250	32.9918976	
3260	50	3260	32.9918976	
3270	50	3270	32.9918976	
3280	50	3280	32.9918976	
3290	50	3290	32.9918976	
3300	50	3300	32.9918976	
3310	50	3310	32.9918976	
3320	50	3320	32.9918976	
3330	50	3330	32.9918976	
3340	50	3340	33.0208321	
3350	50	3350	32.9918976	
3360	50	3360	33.0208321	
3370	50	3370	32.9918976	
3380	50	3380	32.9918976	
3390	50	3390	33.0208321	
3400	50	3400	33.0208321	
3410	50	3410	33.0208321	
3420	50	3420	33.0208321	
3430	50	3430	33.0208321	
3440	50	3440	33.0208321	
3450	50	3450	33.0497665	
3460	50	3460	33.0497665	
3470	50	3470	33.0208321	
3480	50	3480	33.0208321	
3490	50	3490	33.0208321	
3500	50	3500	33.0497665	
3510	50	3510	33.0497665	
3520	50	3520	33.0497665	
3530	50	3530	33.0787048	
3540	50	3540	33.0497665	
3550	50	3550	33.0497665	
3560	50	3560	33.0787048	
3570	50	3570	33.0497665	
3580	50	3580	33.0787048	
3590	50	3590	33.10764	
3600	50	3600	33.10764	
3610	50	3610	33.10764	
3620	50	3620	33.10764	
3630	50	3630	33.0787048	
3640	50	3640	33.10764	
3650	50	3650	33.0787048	
3660	50	3660	33.10764	
3670	50	3670	33.10764	
3680	50	3680	33.10764	
3690	50	3690	33.10764	
3700	50	3700	33.10764	
3710	50	3710	33.10764	
3720	50	3720	33.10764	
3730	50	3730	33.10764	
3740	50	3740	33.10764	
3750	50	3750	33.1365738	
3760	50	3760	33.10764	
3770	50	3770	33.1365738	
3780	50	3780	33.10764	
3790	50	3790	33.10764	
3800	50	3800	33.1365738	
3810	50	3810	33.1365738	
3820	50	3820	33.1365738	
3830	50	3830	33.1365738	
3840	50	3840	33.1365738	
3850	50	3850	33.1365738	
3860	50	3860	33.1365738	
3870	50	3870	33.1365738	
3880	50	3880	33.1655121	
3890	50	3890	33.1655121	
3900	50	3900	33.1655121	
3910	50	3910	33.1365738	
3920	50	3920	33.1655121	
3930	50	3930	33.1655121	
3940	50	3940	33.1655121	
3950	50	3950	33.1944427	
3960	50	3960	33.1655121	
3970	50	3970	33.1944427	
3980	50	3980	33.1944427	
3990	50	3990	33.1944427	
4000	50	4000	33.1944427	
4010	50	4010	33.1944427	
4020	50	4020	33.1655121	
4030	50	4030	33.22338	
4040	50	4040	33.1944427	
4050	50	4050	33.1944427	
4060	50	4060	33.1944427	
4070	50	4070	33.1944427	
4080	50	4080	33.22338	
4090	50	4090	33.22338	
4100	50	4100	33.22338	
4110	50	4110	33.22338	
4120	50	4120	33.22338	
4130	50	4130	33.22338	
4140	50	4140	33.22338	
4150	50	4150	33.2523155	
4160	50	4160	33.22338	
4170	50	4170	33.22338	
4180	50	4180	33.22338	
4190	50	4190	33.2523155	
4200	50	4200	33.2523155	
4210	50	4210	33.2523155	
4220	50	4220	33.2523155	
4230	50	4230	33.2523155	
